Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

C25        0402              1099.213mil   -745.118mil   1099.213mil   -745.118mil   1079.527mil   -745.118mil  T        360.00 1.5nF          
C24        1206               823.622mil    522.598mil    823.622mil    522.598mil    880.709mil    522.598mil  T        180.00 10uF           
C23        0603               823.622mil    601.339mil    823.622mil    601.339mil    853.149mil    601.339mil  T        180.00 0.1uF          
C22        1206               823.622mil   -115.197mil    823.622mil   -115.197mil    880.709mil   -115.197mil  T        180.00 10uF           
C21        0603               823.622mil    -36.457mil    823.622mil    -36.457mil    853.149mil    -36.457mil  T        180.00 0.1uF          
C20        1206               823.622mil   -752.992mil    823.622mil   -752.992mil    880.709mil   -752.992mil  T        180.00 10uF           
C19        0603               823.622mil   -674.252mil    823.622mil   -674.252mil    853.149mil   -674.252mil  T        180.00 0.1uF          
C18        0603             -1220.473mil    130.945mil  -1220.473mil    130.945mil  -1220.473mil    101.417mil  T         90.00 1uF            
C17        0603             -1220.473mil   -506.851mil  -1220.473mil    -506.85mil  -1220.473mil   -477.323mil  T        270.00 1uF            
C16        0603             -1220.473mil     768.74mil  -1220.473mil     768.74mil  -1220.473mil    798.268mil  T        270.00 1uF            
C15        0402             -1220.473mil   -609.213mil  -1220.473mil   -609.213mil  -1220.473mil   -589.528mil  T        270.00 1.5nF          
C14        0402             -1098.425mil   -333.622mil  -1098.425mil   -333.622mil   -1078.74mil   -333.622mil  T        180.00 1.5nF          
C13        0402             -1220.473mil     28.583mil  -1220.473mil     28.583mil  -1220.473mil     48.268mil  T        270.00 1.5nF          
C12        0402             -1098.425mil    304.173mil  -1098.425mil    304.173mil   -1078.74mil    304.173mil  T        180.00 1.5nF          
C11        0402             -1220.473mil    666.378mil  -1220.473mil    666.378mil  -1220.473mil    686.063mil  T        270.00 1.5nF          
C10        0402             -1098.425mil    941.968mil  -1098.425mil    941.968mil   -1078.74mil    941.968mil  T        180.00 1.5nF          
C9         1206              -822.835mil   -325.748mil   -822.835mil   -325.748mil   -879.921mil   -325.748mil  T        360.00 10uF           
C8         0603              -822.835mil   -404.488mil   -822.835mil   -404.488mil   -852.362mil   -404.488mil  T        360.00 0.1uF          
